Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea de Inversión;Descripción Línea de Inversión;Sublínea de Inversión;Descripción Sublínea de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado ;Pagos Real;
;;001;151;16301;60913;2023/003052;2024/004027;ÁREAS INFANTILES INTEGRACIÓN DISTRITO CIUDAD LINEAL. TRANSFORMACIÓN E INSTALACIÓN (ID 21: 17328);215;CIUDAD LINEAL;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;18;PRESUPUESTOS PARTICIPATIVOS;0;164798,92;164798,92;0;0;164798,92;164798,92;164798,91;0;164798,91;
;;001;151;16301;60913;2023/003052;2024/004028;ÁREAS INFANTILES INTEGRACIÓN DISTRITO HORTALEZA. TRANSFORMACIÓN E INSTALACIÓN (ID 21: 17328);216;HORTALEZA;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;18;PRESUPUESTOS PARTICIPATIVOS;0;165573,78;165573,78;0;0;165573,78;165573,78;165573,77;0;165573,77;
;;001;151;16301;60913;2023/003052;2024/004029;ÁREAS INFANTILES INTEGRACIÓN DISTRITO VILLAVERDE. TRANSFORMACIÓN E INSTALACIÓN (ID 21: 17328);217;VILLAVERDE;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;18;PRESUPUESTOS PARTICIPATIVOS;0;127773,3;127773,3;0;0;127773,3;127773,3;127773,3;0;127773,3;
;;001;151;16301;60913;2023/003052;2024/004030;ÁREAS INFANTILES INTEGRACIÓN DISTRITO VILLA VALLECAS. TRANSFORMACIÓN E INSTALACIÓN (ID 21: 17328);218;VILLA DE VALLECAS;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;18;PRESUPUESTOS PARTICIPATIVOS;0;74126,37;74126,37;0;0;74126,37;74126,37;74126,37;0;74126,37;
;;001;151;16301;60913;2023/003052;2024/004031;ÁREAS INFANTILES INTEGRACIÓN DISTRITO VICÁLVARO. TRANSFORMACIÓN E INSTALACIÓN (ID 21: 17328);219;VICALVARO;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;18;PRESUPUESTOS PARTICIPATIVOS;0;175092,28;175092,28;0;0;175092,28;175092,28;175092,27;0;175092,27;
;;001;151;16301;60913;2023/003052;2024/004032;ÁREAS INFANTILES INTEGRACIÓN DISTRITO SAN BLAS. TRANSFORMACIÓN E INSTALACIÓN (ID 21: 17328);220;SAN BLAS-CANILLEJAS;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;18;PRESUPUESTOS PARTICIPATIVOS;0;172319,13;172319,13;0;0;172319,13;172319,13;172319,13;0;172319,13;
;;001;151;16301;60913;2023/003052;2024/004033;ÁREAS INFANTILES INTEGRACIÓN DISTRITO BARAJAS. TRANSFORMACIÓN E INSTALACIÓN (ID 21: 17328);221;BARAJAS;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;18;PRESUPUESTOS PARTICIPATIVOS;0;173591,05;173591,05;0;0;173591,05;173591,05;173591,05;0;173591,05;
;;001;151;16301;60913;2024/004011;2024/004011;COLUMPIOS INCLUSIVOS ADAPTADOS EN PARQUES DEL DISTRITO DE ARGANZUELA. INSTALACIÓN (ID 18: 10143);202;ARGANZUELA;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;18;PRESUPUESTOS PARTICIPATIVOS;43984;0;43984;0,5;13640,08;30343,42;30343,42;30343,42;0;30343,42;
5;FONDO DE REEQUILIBRIO TERRITORIAL;001;151;16301;60913;2023/003025;2023/003025;NUEVOS BANCOS EN PLAZAS, PARQUES, JARDINES Y ÁREAS SINGULARES. INSTALACIÓN (ID 21: 18994);998;VARIOS DISTRITOS;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;18;PRESUPUESTOS PARTICIPATIVOS;699938;0;699938;0,05;0;699937,95;699937,95;699395,89;0;699395,89;
5;FONDO DE REEQUILIBRIO TERRITORIAL;001;151;16301;60913;2025/005005;2025/005005;ÁREA DE CALISTENIA EN EL BARRIO DE ORCASITAS. INSTALACIÓN (ID 21: 18132);212;USERA;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;18;PRESUPUESTOS PARTICIPATIVOS;65000;-11079,81;53920,19;0;14359,97;39560,22;39560,22;0;0;0;
;;001;151;16301;61913;2025/000049;2025/000049;ÁREAS DE JUEGO INFANTIL. RENOVACIÓN Y TRANSFORMACIÓN EN ÁREAS INCLUSIVAS;998;VARIOS DISTRITOS;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;;;1836633;-1836633;0;0;0;0;0;0;0;0;
;;001;151;16301;61913;2025/000051;2025/000051;BANCOS EN LA CIUDAD DE MADRID. ACTUACIONES DE REPOSICIÓN;998;VARIOS DISTRITOS;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;;;699938;-699938;0;0;0;0;0;0;0;0;
;;001;151;16301;62300;2025/001074;2025/001074;ALMACÉN MUNICIPAL DE MOBILIARIO URBANO, CALLE AHUMAOS, 27 B. CARRETILLA ELEVADORA;998;VARIOS DISTRITOS;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;;;0;18148;18148;3204,5;0;14943,5;14943,5;14943,5;0;14943,5;
